CustomerID,Recency,Frequency,Monetary
106,48,22,60193.83
107,15,25,58075.03
108,10,19,48896.15
109,2,34,99074.71
110,7,27,65398.32
111,0,31,70403.34
112,9,33,82089.09
113,0,25,47755.0
114,11,34,96046.15
115,3,27,56420.39
116,24,23,63704.14
117,1,33,76818.3
118,11,30,89329.66
119,6,39,96664.86
120,52,30,83780.83
121,15,31,67311.09999999999
122,31,27,59971.58
123,16,33,88121.78
124,26,35,88470.51000000001
125,36,41,104411.47
126,13,30,66917.89
127,24,25,60411.58
128,1,35,102349.59
129,22,34,89327.06999999999
130,1,27,76026.78
131,7,46,109280.89
132,3,38,99803.76
133,0,37,92464.92
134,18,26,73819.13
135,42,33,93923.04
136,12,39,112685.52
137,5,39,91396.3
138,1,25,63642.08
139,2,34,77428.23
140,14,31,76940.7
141,8,27,66310.84
142,15,27,55400.520000000004
143,4,35,88046.84
144,24,29,71120.69
145,27,33,93228.16
146,3,28,49561.73
147,5,43,96977.4
148,7,30,72394.02
149,8,40,87189.44
150,9,32,77153.35
151,7,29,71668.8
152,5,34,90482.98
153,5,26,78105.5
154,13,28,59442.63
155,21,26,59133.229999999996
156,0,24,59193.82
157,26,27,66472.26
158,11,31,75858.9
159,33,33,88870.7
160,6,31,80910.76
161,20,28,73437.4
162,2,40,120558.25
163,18,28,83088.76
164,3,35,98697.48
165,1,35,96159.73
166,3,26,63349.35
167,10,30,76905.01999999999
168,1,28,87620.77
169,10,30,83514.5
170,18,35,98280.18
171,11,35,79439.04
172,1,34,96393.96
173,45,26,66521.58
174,57,25,61403.37
175,10,21,56772.37
176,16,29,76660.70999999999
177,2,28,50909.13
178,11,33,97605.0
179,21,20,46726.66
180,25,26,55632.84
181,10,35,89593.49
182,1,39,92301.9
183,1,32,78678.38
184,17,30,85850.65
185,7,33,80023.11
186,3,28,74235.53
187,11,30,94107.62
188,3,32,84436.62
189,6,29,67303.24
190,17,33,84208.34
191,15,28,70865.36
192,7,28,70340.95
193,23,31,65721.23
194,5,35,90527.52
195,2,21,44582.16
196,1,25,63872.07
197,3,31,85921.49
198,7,33,99104.6
199,4,31,64314.61
200,14,23,44896.88
201,5,27,68452.12
202,23,23,49675.99
203,22,34,94826.19
204,3,32,72303.08
205,1,34,90940.03
206,1,32,78620.29
207,0,38,92376.54
208,31,25,56230.37
209,26,27,75618.68
210,11,25,79483.54
211,7,42,104961.61
212,25,22,57705.02
213,6,25,65693.02
214,1,32,80036.83
215,0,24,66422.6
216,10,28,79832.66
217,0,37,103387.3
218,25,29,84550.58
219,39,34,96142.18
220,1,21,55486.61
221,2,31,81808.94
222,6,28,78164.42
223,24,36,89938.37
224,12,36,90007.7
225,36,27,80032.66
226,12,31,85189.36
227,4,31,78686.27
228,14,34,91440.77
229,8,33,74010.86
230,2,28,66285.72
231,0,38,91262.84
232,0,23,65152.869999999995
233,0,29,71052.22
234,0,28,75145.04000000001
235,7,27,67511.49
236,10,34,101151.62
237,23,35,98476.27
238,4,41,94380.92
239,4,25,59163.43
240,14,29,70785.31
241,16,23,55759.4
242,13,32,74893.67
243,6,31,72733.15000000001
244,26,20,46176.75
245,0,19,51441.61
246,2,36,84506.45999999999
247,7,38,88457.09
248,11,22,60237.5
249,6,31,82013.81999999999
250,3,30,78793.1
251,4,25,69404.25
252,8,28,69820.11
253,24,29,72362.04000000001
254,4,24,46153.95
255,0,21,48985.33
256,23,30,78571.11
257,13,32,80283.58
258,5,30,79844.02
259,5,31,73579.19
260,0,31,73135.29
261,23,22,51282.14
262,0,28,59907.43
263,7,24,48460.66
264,32,26,50272.89
265,10,37,119263.76
266,16,31,75481.94
267,6,31,74735.46
268,21,40,91594.33
269,2,27,71039.59
270,8,30,75113.14
271,1,39,107760.21
272,32,28,62581.840000000004
273,12,19,57858.01
274,25,32,78335.1
275,7,30,92131.17
276,5,31,72274.17
277,17,31,81948.42
278,5,25,61284.979999999996
279,7,31,70545.53
280,4,24,52374.78
281,16,35,86487.68
282,12,22,53337.6
283,5,37,101052.98
284,41,32,87098.85
285,7,31,72990.06999999999
286,7,39,100562.27
287,5,27,69915.04
288,1,34,87569.87
289,11,34,74575.98
290,3,31,70069.58
291,5,33,91996.81
292,36,26,54723.18
293,4,38,90431.97
294,1,26,58053.42
295,39,28,85751.48
296,3,31,84470.93
297,2,26,58225.45
298,5,27,64475.51
299,14,22,50804.6
300,1,19,49326.95
301,16,28,52641.11
302,7,28,60742.76
303,1,38,100344.06
304,1,35,88492.51
305,7,37,96096.07
306,6,25,70390.41
307,4,23,44283.69
308,2,29,70906.15
309,14,25,57649.06
310,12,29,54481.159999999996
311,17,24,48563.16
312,5,23,64160.33
313,3,40,99799.79
314,11,24,61317.17
315,23,29,76984.24
316,0,31,73102.47
317,15,27,58428.119999999995
318,13,27,67822.41
319,0,27,73961.99
320,2,33,91889.26000000001
321,1,32,86193.03
322,23,23,56001.25
323,16,38,92947.69
324,19,30,82388.55
325,27,21,52348.49
326,1,25,54189.43
327,34,30,69756.69
328,31,31,68365.92
329,2,33,84056.29000000001
330,53,25,69550.75
331,14,34,84412.47
332,7,20,51138.03
333,3,35,83656.86
334,29,19,45956.7
335,5,37,91991.37
336,1,28,88657.70999999999
337,23,23,66389.63
338,20,27,67398.02
339,3,35,80987.19
340,4,36,93489.77
341,2,28,85137.74
342,4,27,66764.18000000001
343,3,27,62928.53
344,14,33,88486.14
345,8,35,70874.82
346,3,32,96152.53
347,3,23,68623.42
348,11,34,84383.14
349,16,35,77274.76
350,24,21,46729.57
351,4,26,74189.01
352,7,22,63789.67
353,7,27,68975.87
354,9,22,61361.62
355,7,30,72628.09
356,19,24,65303.21
357,14,31,74310.67
358,7,28,69276.38
359,7,42,107137.07
360,1,35,89150.68
361,42,22,52300.91
362,0,33,80881.05
363,1,35,83119.11
364,0,24,58723.42
365,7,39,90884.91
366,20,25,76877.91
367,37,33,75626.24
368,5,26,52573.19
369,13,34,94003.35
370,6,35,80526.76
371,2,32,82478.86
372,1,26,68079.4
373,3,29,71157.89
374,16,26,66219.57
375,4,30,68304.81
376,0,30,68937.5
377,2,34,76538.56
378,5,37,91301.44
379,4,31,69701.69
380,4,25,76022.54000000001
381,18,20,55748.44
382,12,37,78851.9
383,10,29,67045.21
384,1,40,101529.28
385,4,29,64403.450000000004
386,10,20,52626.81
387,12,34,79326.23
388,13,20,51287.53
389,1,33,83917.8
390,0,20,44205.5
391,0,29,87492.89
392,19,24,55059.71
393,7,37,99370.64
394,16,30,78942.69
395,14,30,70249.3
396,35,28,78794.55
397,11,41,97696.46
398,24,27,72011.07
399,25,20,48009.16
400,16,25,54434.19
401,2,24,60675.1
402,8,40,103914.95999999999
403,4,38,96512.6
404,18,33,84085.45
405,10,31,76104.21
406,1,29,75894.3
407,10,35,95302.68
408,9,27,71225.08
409,28,36,91171.44
410,1,31,76697.58
411,27,26,60492.86
412,10,33,76728.33
413,9,22,54727.93
414,4,25,52822.97
415,16,29,73158.95
416,6,28,75937.44
417,11,21,51427.2
418,4,24,60202.020000000004
419,7,28,71219.74
420,1,34,92737.57
421,3,27,77096.2
422,15,23,57125.31
423,0,33,77264.17
424,47,28,68591.98
425,10,34,88268.39
426,4,36,98050.92
427,29,32,81572.22
428,4,22,46862.17
429,12,38,109151.21
430,5,32,69872.09
431,25,36,104373.91
432,23,28,65706.35
433,8,32,84294.99
434,25,30,62574.99
435,2,24,55625.95
436,36,27,62106.84
437,21,22,54744.31
438,3,30,66935.76
439,0,24,53573.58
440,5,40,90181.51
441,5,36,87044.52
442,5,27,60028.520000000004
443,1,33,81875.1
444,9,32,82071.71
445,16,33,75607.19
446,49,24,69945.15
447,8,18,39390.56
448,1,25,67006.01
449,43,28,74860.57
450,0,38,98137.28
451,11,39,108173.69
452,12,29,77757.23
453,39,27,81023.18
454,42,34,88042.69
455,21,33,72995.7
456,0,30,81083.14
457,1,28,70809.0
458,7,48,117266.33
459,13,37,103038.17
460,12,32,69551.03
461,14,34,69538.53
462,9,23,60957.61
463,11,29,75354.49
464,22,30,63241.68
465,2,40,103076.35
466,39,27,70954.45999999999
467,4,37,95235.84
468,26,23,60287.14
469,40,27,70552.27
470,12,34,90699.88
471,10,24,62402.01
472,18,35,69153.84
473,5,30,67115.48
474,15,22,47678.48
475,6,23,55919.1
476,3,34,77993.12
477,0,24,58871.94
478,12,19,52497.15
479,12,38,93624.65
480,17,29,78281.27
481,5,31,79420.34
482,37,26,62680.78
483,9,28,61939.979999999996
484,3,26,72295.99
485,26,39,115852.04
486,34,27,68018.9
487,8,31,80212.55
488,1,33,90033.21
489,37,31,60411.76
490,12,34,78364.37
491,15,32,87617.33
492,1,30,79569.09
493,26,27,73029.2
494,25,35,81213.2
495,8,24,70665.41
496,4,21,54279.53
497,5,40,101058.57
498,9,32,79982.65
499,4,23,49442.01
500,11,30,72795.0
501,6,27,73278.32
502,0,27,68224.13
503,34,30,79705.53
504,9,31,83833.53
505,5,26,75879.76
506,38,31,91551.88
507,11,36,92917.01000000001
508,12,28,65586.51
509,5,32,76106.08
510,15,24,58412.84
511,7,34,85060.7
512,3,37,93495.21
513,23,21,49704.24
514,10,27,81809.89
515,3,28,67766.41
516,26,21,51020.08
517,21,24,50459.5
518,16,32,85064.78
519,4,49,123291.97
520,17,40,102194.53
521,10,16,33329.28
522,10,29,75210.35
523,34,28,84597.35
524,0,24,67512.67
525,1,29,79927.5
526,13,26,64647.99
527,16,33,86176.6
528,8,21,48552.83
529,22,25,56005.729999999996
530,23,26,72961.93
531,23,28,67788.06
532,12,30,77013.65
533,6,35,82786.51
534,10,27,63200.73
535,9,25,73002.18000000001
536,8,32,88487.65
537,42,28,67202.24
538,0,30,69655.94
539,0,23,58875.08
540,7,39,106885.14
541,22,43,108849.12
542,17,33,69516.95
543,28,31,87548.47
544,9,28,81105.43
545,8,29,79579.94
546,2,33,91412.32
547,24,35,77209.12
548,19,21,40061.88
549,20,26,68214.0
550,33,30,66058.01
551,47,32,87272.5
552,17,23,50038.36
553,1,29,84749.1
554,25,29,81979.76
555,37,32,90376.73
556,6,25,57277.6
557,0,28,73939.43000000001
558,4,40,112765.23
559,19,24,52807.52
560,12,37,106288.94
561,1,34,91548.02
562,24,35,96110.1
563,5,21,58160.71
564,6,28,62919.99
565,5,25,64394.659999999996
566,38,27,84509.1
567,20,31,92743.82
568,10,34,86201.81999999999
569,6,23,58302.46
570,2,28,78405.05
571,24,31,83307.32
572,10,40,103032.13
573,6,28,49802.12
574,11,34,89708.73
575,18,24,52278.49
576,18,44,110676.73
577,32,33,84832.42
578,0,29,60173.06
579,19,25,65246.05
580,42,28,60533.94
581,13,33,73137.12
582,11,30,76757.69
583,27,32,77268.52
584,1,30,89755.31999999999
585,11,25,57312.409999999996
586,1,34,77383.26
587,2,25,75305.31
588,12,33,90438.43
589,0,36,83183.7
590,7,30,69446.77
591,2,29,67341.65
592,22,20,47526.200000000004
593,20,30,77270.33
594,5,29,73054.18
595,0,22,71211.65
596,0,24,52417.9
597,2,33,73285.46
598,5,32,84931.49
599,9,34,85259.55
600,41,21,53515.87
601,26,30,72791.51
602,8,30,65837.18
603,15,37,99993.61
604,3,21,54646.19
605,9,39,113357.31
606,1,32,67748.89
607,8,32,80597.59
608,14,33,90730.32
609,21,23,52245.04
610,11,33,73677.71
611,0,33,89711.56
612,1,37,106613.95
613,8,24,69574.45
614,9,37,90286.43
615,18,40,91335.33
616,17,30,71894.21
617,12,27,72181.09
618,4,37,79090.57
619,0,32,76555.56
620,2,26,71909.41
621,5,31,70484.78
622,13,31,88701.78
623,13,34,81667.39
624,30,27,75110.68000000001
625,7,26,59593.7
626,24,32,82118.19
627,10,30,71164.7
628,9,34,92634.07
629,24,22,59972.94
630,9,33,83548.18
631,21,34,78260.73
632,24,27,57527.7
633,6,24,50829.79
634,10,27,70891.45
635,3,32,88788.05
636,16,29,67940.52
637,0,37,89057.17
638,6,27,77333.55
639,1,24,71520.3
640,5,25,71770.32
641,9,31,81100.31
642,9,23,50167.7
643,11,33,91428.58
644,13,24,64513.41
645,12,26,63773.7
646,3,26,61363.240000000005
647,16,30,69505.92
648,7,29,73573.04
649,7,34,93089.43
650,2,30,76605.01
651,8,24,61711.11
652,12,31,73645.61
653,2,35,88227.14
654,22,35,87764.4
655,4,32,88820.83
656,12,21,58861.46
657,4,32,80005.3
658,6,22,56409.57
659,11,32,83459.7
660,4,26,66510.63
661,1,26,72230.21
662,8,36,76444.87
663,3,27,83085.38
664,24,31,79346.05
665,9,21,60463.88
666,16,38,93964.53
667,3,31,77888.37
668,4,23,48575.9
669,6,31,64153.63
670,15,23,55849.57
671,24,27,74268.20999999999
672,5,26,71101.44
673,13,25,64178.32
674,20,25,60520.07
675,27,30,88154.44
676,7,34,87248.59
677,4,23,59401.88
678,5,31,72902.86
679,1,39,98225.39
680,10,29,69895.0
681,2,29,79901.66
682,4,34,79818.03
683,6,29,60167.32
684,7,36,89967.69
685,9,34,84678.71
686,8,31,69042.41
687,22,31,79575.19
688,13,19,54274.41
689,13,32,87288.36
690,14,22,47722.22
691,7,32,73491.91
692,8,28,70501.37
693,4,40,106875.84
694,11,30,91003.93
695,0,32,87914.36
696,5,26,65067.630000000005
697,19,30,68823.86
698,0,34,87591.62
699,19,34,74746.55
700,13,27,59994.89
701,28,31,58707.93
702,8,36,74517.62
703,0,33,87908.38
704,13,25,62467.12
705,32,28,59479.18
706,1,25,63263.97
707,47,34,91670.97
708,10,29,65781.56
709,0,29,59286.41
710,10,25,68670.79
711,8,20,58573.549999999996
712,23,28,66118.07
713,61,30,78821.44
714,8,28,73184.55
715,9,26,66531.91
716,5,35,84805.51
717,9,31,75360.44
718,0,27,80432.15
719,3,36,79281.22
720,25,33,84741.26
721,3,31,77736.43
722,5,37,104355.47
723,14,25,68840.97
724,9,22,55530.51
725,3,24,67000.51000000001
726,16,30,70264.84
727,14,29,79040.15
728,10,24,73412.66
729,25,39,104255.08
730,33,28,73928.37
731,14,32,100018.0
732,17,36,86338.43000000001
733,21,24,47885.75
734,1,29,79506.0
735,0,29,70637.81999999999
736,25,27,72616.93
737,9,27,71090.37
738,64,19,38742.28
739,18,33,87385.01
740,10,36,83964.72
741,2,32,90538.82
742,23,15,35684.18
743,16,29,71413.27
744,1,20,52909.78
745,16,25,52105.37
746,16,23,50405.1
747,0,26,68007.11
748,2,35,88111.76
749,4,29,69307.03
750,38,25,57634.22
751,5,28,71598.4
752,3,27,63459.95
753,29,32,97032.62
754,15,25,58101.9
755,18,32,80436.36
756,1,29,62402.25
757,14,25,68662.97
758,16,33,94005.57
759,17,24,66469.09
760,7,39,100118.66
761,32,30,60703.44
762,48,19,41411.56
763,6,40,93512.8
764,9,35,92789.95
765,7,32,76250.37
766,9,32,67020.71
767,14,31,83152.35
768,0,24,68707.03
769,7,31,78057.84
770,6,23,63297.71
771,0,35,87027.89
772,32,23,48744.9
773,13,33,85351.45
774,0,30,73952.18
775,7,34,90989.37
776,8,30,71758.22
777,5,29,75898.07
778,3,28,61357.45
779,1,21,43053.44
780,15,32,88206.18
781,11,23,46061.53
782,2,25,69215.73
783,3,29,75810.42
784,8,33,69852.79000000001
785,12,28,76097.75
786,55,28,62384.22
787,11,39,100649.03
788,2,31,58327.31
789,2,28,66904.19
790,1,46,108540.41
791,9,34,86719.71
792,11,40,106729.91
793,26,31,79148.71
794,16,23,57485.92
795,5,30,75629.26
796,0,26,71492.38
797,5,34,80002.27
798,7,31,83151.74
799,3,29,75035.37
800,13,27,76617.66
801,5,37,102328.76
802,1,35,97082.08
803,4,37,93969.19
804,34,32,72207.27
805,9,27,59012.57
806,30,28,62517.08
807,33,25,68815.22
808,0,29,66210.58
809,45,29,71313.4
810,3,26,74146.76
811,25,32,73913.98
812,6,32,69152.03
813,4,35,100379.64
814,0,31,88250.47
815,0,29,74784.24
816,6,37,83178.16
817,21,31,65203.29
818,0,30,70307.11
819,3,26,53626.36
820,6,25,66158.94
821,5,34,97823.23
822,36,26,68330.22
823,14,19,45480.76
824,3,32,84215.73
825,2,41,90461.63
826,3,30,61708.340000000004
827,10,24,61123.37
828,1,29,77959.6
829,21,32,79657.9
830,11,29,58151.18
831,31,29,73311.59
832,18,29,85181.36
833,3,25,49857.48
834,2,37,86568.52
835,2,34,78400.73
836,30,23,61057.59
837,1,28,77333.58
838,7,28,72553.59
839,12,31,80727.63
840,13,27,56524.3
841,0,30,87317.19
842,6,35,76336.83
843,16,34,87194.05
844,15,35,78423.81999999999
845,8,19,54810.020000000004
846,25,24,51919.75
847,47,34,83469.93
848,9,27,84627.7
849,28,27,78179.47
850,10,42,121981.23
851,8,32,83334.41
852,5,34,86547.44
853,41,21,49321.090000000004
854,29,33,78510.35
855,14,33,76679.94
856,9,19,43081.59
857,8,24,67956.87
858,2,39,97884.65
859,4,33,87487.14
860,3,27,68538.26
861,0,28,71445.63
862,0,29,78620.05
863,1,23,49284.91
864,3,33,80437.75
865,28,24,55797.25
866,51,26,63808.84
867,7,24,58010.97
868,0,38,91808.9
869,4,35,101719.86
870,6,27,62961.43
871,3,38,98867.17
872,19,35,88380.49
873,12,27,61226.62
874,15,22,55020.83
875,4,21,45083.11
876,8,34,82639.42
877,14,19,47986.23
878,15,29,90660.77
879,26,34,87028.15000000001
880,5,28,57392.46
881,15,32,102846.94
882,0,33,67841.62
883,1,27,62084.659999999996
884,8,31,63945.81
885,5,28,60261.86
886,36,30,68874.58
887,11,25,70996.63
888,1,26,77298.79000000001
889,8,30,91461.97
890,13,26,77969.0
891,6,30,80833.64
892,6,28,78885.78
893,0,32,75309.56
894,17,33,79337.54
895,1,35,96810.79
896,2,26,64631.39
897,2,25,60464.0
898,3,31,73390.4
899,12,39,89496.95
900,28,29,80202.37
901,1,27,81997.43
902,18,30,75236.54000000001
903,0,28,67830.52
904,4,43,114253.44
905,3,27,66064.75
906,7,26,54702.71
907,15,29,67477.43
908,3,27,61089.08
909,23,26,60320.37
910,3,24,49129.98
911,11,41,86513.39
912,5,30,71688.7
913,1,30,77903.11
914,41,35,82842.45
915,1,36,85040.29
916,3,35,88994.79
917,0,24,52446.54
918,2,15,37795.93
919,1,32,88086.22
920,4,32,87741.3
921,35,29,77979.96
922,3,21,57572.020000000004
923,6,28,67368.23
924,28,33,106874.05
925,12,31,74734.15
926,7,28,70032.74
927,17,25,67048.86
928,6,25,62209.43
929,8,26,68727.03
930,0,36,88720.45
931,6,31,79094.47
932,1,30,94637.77
933,12,21,56205.03
934,14,23,62359.2
935,19,23,51056.16
936,0,28,69349.21
937,12,23,63571.5
938,0,28,79651.87
939,13,29,72311.96
940,8,41,118179.0
941,3,28,65725.39
942,2,30,73534.19
943,2,30,78998.96
944,27,27,67290.91
945,55,28,65954.7
946,0,32,81692.70999999999
947,3,32,89645.78
948,7,35,81786.62
949,0,33,90193.99
950,12,34,83008.77
951,19,45,131239.28
952,0,32,67205.77
953,13,32,78835.38
954,5,33,82547.28
955,1,36,95160.26
956,0,26,70989.56
957,3,38,104880.76000000001
958,14,30,67103.69
959,34,30,82815.02
960,19,34,78354.23
961,14,38,82675.79000000001
962,26,37,83288.73
963,3,28,67759.02
964,5,24,52255.0
965,21,20,54513.8
966,4,22,48276.840000000004
967,5,25,63534.58
968,7,36,87912.56
969,3,38,99354.82
970,6,22,47545.64
971,5,34,77857.69
972,13,27,59289.47
973,12,33,92325.06
974,0,25,61097.57
975,1,25,71254.88
976,4,34,89999.45
977,20,39,96518.76
978,11,25,60632.44
979,16,33,71299.87
980,10,17,48235.09
981,55,25,63798.45
982,26,18,48308.91
983,12,26,67260.5
984,20,30,74384.41
985,12,25,44667.36
986,45,28,78288.17
987,9,27,66848.93
988,3,30,71332.83
989,8,49,129996.76
990,2,23,70394.02
991,3,35,87295.17
992,0,42,93556.34
993,5,24,65736.0
994,14,28,67164.69
995,4,32,82544.74
996,12,24,49952.29
997,20,19,52939.16
998,5,24,61516.99
999,1,26,89631.5
1000,3,22,55941.520000000004
1001,25,30,80063.44
1002,2,35,82584.31
1003,3,32,81315.78
1004,2,30,73095.01
1005,11,32,82350.15
1006,0,26,57559.72
1007,1,34,96150.4
1008,14,31,77227.63
1009,4,27,55065.76
1010,26,38,88056.36
1011,21,33,90733.81
1012,2,23,63670.74
1013,22,34,83264.52
1014,11,32,89760.27
1015,4,42,100310.91
1016,7,27,74115.64
1017,2,28,69790.14
1018,1,47,117258.11
1019,11,28,78742.01
1020,12,37,89801.52
1021,13,31,89127.02
1022,3,34,97014.05
1023,18,31,81572.20999999999
1024,42,23,63132.27
1025,15,34,90913.37
1026,23,34,94234.15
1027,26,32,67969.84
1028,3,26,73677.08
1029,6,33,70337.08
1030,25,31,82328.81999999999
1031,3,34,78525.7
1032,13,30,68392.0
1033,12,27,75704.5
1034,9,29,77057.37
1035,12,28,67965.25
1036,21,22,53375.72
1037,7,25,58023.55
1038,1,28,62916.97
1039,12,31,75491.24
1040,14,23,59680.090000000004
1041,29,35,74344.91
1042,1,33,82294.67
1043,9,27,69408.85
1044,4,31,73290.26
1045,18,33,84906.93
1046,1,28,57290.45
1047,12,27,69666.09
1048,1,36,82796.55
1049,21,25,57507.15
1050,1,31,69017.59999999999
1051,8,27,61844.37
1052,3,31,74838.71
1053,17,31,77165.94
1054,22,22,55676.409999999996
1055,10,34,73767.2
1056,9,29,59258.01
1057,12,22,49357.840000000004
1058,6,30,84787.07
1059,9,35,89238.86
1060,16,31,64744.32
1061,13,31,80668.7
1062,1,40,93006.83
1063,26,19,49571.75
1064,4,38,88668.65
1065,5,40,96891.26
1066,1,30,83705.92
1067,6,32,68723.29000000001
1068,5,35,89282.33
1069,0,37,91294.76
1070,0,27,55334.67
1071,12,28,66290.19
1072,13,26,69716.38
1073,0,41,113930.87
1074,36,21,48935.26
1075,16,35,88183.75
1076,4,23,61508.12
1077,0,22,57304.26
1078,1,32,82209.74
1079,1,35,74895.21
1080,6,30,68866.95999999999
1081,24,32,82252.28
1082,3,26,51189.88
1083,25,30,76818.12
1084,6,26,60071.53
1085,10,35,89962.46
1086,0,20,45230.65
1087,47,21,53377.84
1088,48,29,65648.22
1089,7,21,54311.97
1090,8,30,77878.06
1091,17,34,77509.14
1092,5,23,68460.04
1093,0,27,64950.81
1094,6,31,75702.19
1095,6,26,62747.94
1096,5,31,65845.94
1097,6,35,65156.62
1098,6,24,67305.85
1099,31,29,72186.56
1100,16,28,61373.54
1101,5,27,71579.67
1102,2,24,63975.73
1103,10,27,65589.17
1104,2,29,66273.16
1105,21,33,87651.47
1106,23,41,96346.76000000001
1107,16,46,113846.7
1108,0,32,83006.04
1109,2,40,98713.74
1110,14,32,85894.07
1111,22,30,80497.73
1112,0,48,117103.35
1113,15,31,62118.51
1114,21,29,69457.51
1115,11,33,74226.06
1116,3,28,80931.44
1117,15,27,55251.329999999994
1118,9,34,94077.31
1119,1,24,58860.51
1120,6,37,90982.64
1121,2,26,63019.880000000005
1122,2,36,89442.73
1123,7,34,81938.92
1124,22,32,84153.52
1125,28,34,94600.54
1126,16,23,50324.92
1127,5,42,106158.71
1128,6,22,47464.93
1129,14,25,56780.619999999995
1130,26,25,57857.6
1131,5,32,89324.75
1132,4,27,50772.99
1133,12,41,110846.92
1134,26,32,69459.14
1135,15,28,75541.04
1136,1,27,45621.95
1137,4,33,62449.07
1138,2,35,94741.71
1139,1,29,73379.12
1140,0,33,76681.33
1141,3,37,91305.93000000001
1142,2,27,62819.03
1143,18,29,73659.08
1144,40,30,63635.259999999995
1145,4,31,91289.65
1146,8,28,74282.7
1147,1,27,64834.55
1148,1,29,84596.27
1149,0,44,114108.31
1150,12,20,51809.07
1151,49,21,47750.3
1152,2,30,77303.87
1153,11,36,94454.0
1154,1,23,64181.36
1155,6,21,59181.33
1156,6,34,68974.62
1157,19,26,70850.56
1158,18,30,75485.39
1159,18,29,79819.66
1160,5,34,97984.52
1161,18,33,79519.02
1162,0,25,68585.91
1163,0,34,70780.9
1164,11,35,86224.26
1165,4,26,67349.02
1166,3,26,72826.18
1167,3,21,45088.72
1168,18,32,81861.07
1169,4,23,60124.54
1170,3,26,66192.61
1171,5,34,81478.24
1172,21,32,78280.7
1173,2,31,76657.28
1174,0,25,69309.92
1175,4,22,58297.56
1176,15,28,67283.95999999999
1177,4,27,65638.6
1178,20,33,84621.99
1179,4,24,68319.95
1180,7,33,68441.75
1181,20,21,46314.020000000004
1182,5,30,73390.9
1183,6,31,79732.88
1184,5,38,103134.85
1185,21,35,82108.12
1186,1,27,58951.67
1187,5,30,65524.23
1188,7,34,92602.45
1189,12,28,67777.12
1190,1,30,79333.85
1191,7,34,87785.1
1192,5,31,78007.99
1193,1,29,66378.13
1194,4,24,61589.0
1195,2,33,86421.18
1196,7,38,92950.39
1197,28,36,96593.76000000001
1198,21,33,80633.17
1199,50,36,89056.01
1200,1,28,68434.95
1201,6,37,93706.79000000001
1202,16,25,63235.72
1203,14,27,63230.409999999996
1204,9,35,97249.28
1205,0,36,109109.13
1206,5,36,83128.52
1207,10,32,89831.82
1208,17,25,69287.35
1209,5,29,65613.61
1210,51,28,66286.0
1211,10,19,49212.799999999996
1212,32,33,85926.2
1213,1,35,104501.55
1214,3,18,47860.04
1215,2,31,81893.87
1216,17,28,71723.28
1217,5,34,71562.17
1218,0,14,40475.46
1219,15,32,87335.01
1220,28,37,91578.86
1221,42,34,77473.24
1222,46,32,74995.69
1223,10,31,78949.95
1224,1,27,45659.4
1225,3,41,98173.12
